x, y, z 
39.94345, -75.19972933333334, -8.220000267028809
39.94345066666666, -75.19972833333333, -8.239999771118164
39.94345083333334, -75.19972766666666, -8.279999732971191
39.943451333333336, -75.19972666666666, -8.3100004196167
39.9434515, -75.19972550000001, -8.350000381469727
39.9434515, -75.19972366666666, -8.359999656677246
39.943451833333334, -75.19972016666667, -8.449999809265137
39.94345216666667, -75.19971699999999, -8.489999771118164
39.94345116666667, -75.199714, -8.550000190734863
39.94345033333333, -75.19971133333334, -8.579999923706055
39.943449333333334, -75.1997085, -8.65999984741211
39.94344916666667, -75.19970583333334, -8.630000114440918
39.943448833333335, -75.19970316666667, -8.510000228881836
39.943448, -75.19970116666667, -8.479999542236328
39.9434465, -75.19969999999999, -8.579999923706055
39.943445833333335, -75.19969983333334, -8.460000038146973
39.94344366666667, -75.19970066666666, -8.510000228881836
39.943442499999996, -75.19970066666666, -8.5
39.943441, -75.19970116666667, -8.430000305175781
39.9434395, -75.1997015, -8.4399995803833
39.94343666666667, -75.1997025, -8.430000305175781
39.943432666666666, -75.19970233333333, -8.40999984741211
39.94343083333333, -75.19970216666667, -8.329999923706055
39.94342733333334, -75.19970199999999, -8.350000381469727
39.94342416666667, -75.19970116666667, -8.079999923706055
39.94342133333334, -75.19969983333334, -8.109999656677246
39.94341933333333, -75.19969783333333, -8.09000015258789
39.943417999999994, -75.1996955, -8.050000190734863
39.94341716666667, -75.199693, -8.0
39.94341733333333, -75.19968850000001, -7.900000095367432
39.943419999999996, -75.19968383333334, -7.809999942779541
39.94342116666667, -75.19968033333333, -7.710000038146973
39.94342033333333, -75.19967833333334, -7.630000114440918
39.943420833333334, -75.19967716666666, -7.670000076293945
39.94342133333334, -75.19967466666667, -7.789999961853027
39.94342183333333, -75.19967233333334, -7.840000152587891
39.94342316666667, -75.19966966666667, -7.900000095367432
39.943424, -75.1996645, -7.900000095367432
39.94342366666667, -75.19966066666666, -7.96999979019165
39.943423833333334, -75.19965716666667, -7.909999847412109
39.943423333333335, -75.19965416666668, -7.880000114440918
39.943422000000005, -75.19965166666665, -7.820000171661377
39.94342116666667, -75.19964883333334, -7.730000019073486
39.94341933333333, -75.19964666666667, -7.739999771118164
39.9434155, -75.1996445, -7.670000076293945
39.9434135, -75.199644, -7.619999885559082
39.94341116666667, -75.19964366666666, -7.630000114440918
39.943408999999996, -75.199643, -7.5
39.94340616666667, -75.1996425, -7.489999771118164
39.9434045, -75.19964066666667, -7.400000095367432
39.94340283333334, -75.19963800000001, -7.420000076293945
39.94340166666667, -75.19963516666667, -7.230000019073486
39.94340066666667, -75.199631, -7.239999771118164
39.9434005, -75.19962816666666, -7.239999771118164
39.94340033333334, -75.199625, -7.170000076293945
39.943399500000005, -75.19962266666667, -7.199999809265137
39.94339916666667, -75.19962016666666, -7.190000057220459
39.94339866666667, -75.19961733333334, -7.179999828338623
39.943398, -75.1996135, -7.210000038146973
39.943397, -75.19961033333334, -7.260000228881836
39.943395, -75.19960599999999, -7.309999942779541
39.9433935, -75.19960383333334, -7.349999904632568
39.94339216666666, -75.1996015, -7.389999866485596
39.943390666666666, -75.1995995, -7.329999923706055
39.943389333333336, -75.1995975, -7.420000076293945
39.943388166666665, -75.19959483333334, -7.409999847412109
39.943386833333335, -75.19959233333334, -7.269999980926514
39.9433855, -75.19958883333334, -7.389999866485596
39.94338266666667, -75.19958249999999, -7.389999866485596
39.94338066666667, -75.19957766666667, -7.300000190734863
39.94337816666667, -75.199573, -7.340000152587891
39.943375833333334, -75.1995685, -7.300000190734863
39.943373333333334, -75.19956383333333, -7.349999904632568
39.943371166666665, -75.19956016666667, -7.210000038146973
39.9433685, -75.19955616666667, -7.21999979019165
39.94336666666666, -75.199553, -7.25
39.943365, -75.19954766666666, -7.210000038146973
39.9433645, -75.199544, -7.289999961853027
39.943364833333334, -75.1995395, -7.320000171661377
39.943364333333335, -75.19953583333333, -7.340000152587891
39.94336366666666, -75.19953183333334, -7.440000057220459
39.943363833333336, -75.1995285, -7.53000020980835
39.943363833333336, -75.19952533333334, -7.610000133514404
39.943363500000004, -75.19952016666666, -7.800000190734863
39.943362666666665, -75.19951716666667, -7.989999771118164
39.943361833333334, -75.199514, -8.100000381469727
39.94336066666666, -75.19951116666667, -8.180000305175781
39.943359666666666, -75.19950816666666, -8.270000457763672
39.943358333333336, -75.199506, -8.390000343322754
39.9433565, -75.1995045, -8.350000381469727
39.94335483333334, -75.19950283333333, -8.369999885559082
39.9433515, -75.19950216666666, -8.420000076293945
39.943349166666664, -75.19950116666668, -8.430000305175781
39.943347, -75.199501, -8.329999923706055
39.94334466666667, -75.19949866666666, -8.170000076293945
39.943341499999995, -75.19949716666666, -8.09000015258789
39.94333916666667, -75.19949483333333, -8.010000228881836
39.94333783333333, -75.19949150000001, -8.0
39.94333683333333, -75.199488, -8.0
39.943336333333335, -75.1994825, -7.980000019073486
39.9433365, -75.19948, -7.989999771118164
39.943335833333336, -75.19947766666668, -7.960000038146973
39.943335499999996, -75.19947566666666, -7.989999771118164
39.943335166666664, -75.19947283333333, -8.069999694824219
39.94333466666667, -75.19946933333334, -8.010000228881836
39.943334166666666, -75.1994655, -8.050000190734863
39.9433335, -75.19946033333333, -8.100000381469727
39.94333316666667, -75.199456, -8.149999618530273
39.94333266666667, -75.19945200000001, -8.119999885559082
39.94333233333334, -75.19944833333334, -8.210000038146973
39.94333183333333, -75.1994445, -8.220000267028809
39.943330833333334, -75.19944116666667, -8.149999618530273
39.943329999999996, -75.19943783333333, -8.270000457763672
39.9433285, -75.19943683333332, -8.229999542236328
39.9433265, -75.19943666666667, -8.079999923706055
39.943324999999994, -75.19943716666667, -8.109999656677246
39.94332333333333, -75.19943766666667, -8.100000381469727
39.943322333333334, -75.19943866666668, -8.050000190734863
39.94332133333333, -75.19943866666668, -7.960000038146973
